Name	actposB	Name	actposX	Name	actveloX	Name	setposX	Name	setposB	Name	setveloX
SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

570	-0,062688076664250553	570	120,00455848760457	570	0,79999443118345193	570	120	570	-0,0663386830915975	570	0
580	-0,070760469926491515	580	119,99847268373475	580	-0,417176750933384	580	120	580	-0,0663386830915975	580	0
590	-0,0676612155002608	590	120,00045834848937	590	-0,41162140624425436	590	120	590	-0,0663386830915975	590	0
600	-0,066583562142720071	600	119,99947541718771	600	0,0047025956431230448	600	120	600	-0,0663386830915975	600	0
610	-0,058140902174158536	610	120,00056711141954	610	-0,27962154438162357	610	120	610	-0,0663386830915975	610	0
620	-0,0673823248760645	620	120,0001451024895	620	0,04908832725878462	620	120	620	-0,0663386830915975	620	0
630	-0,068123321860706687	630	119,99970164820985	630	-0,076357777345618688	630	120	630	-0,0663386830915975	630	0
640	-0,074414608087276221	640	119,99774115014682	640	-0,28253562272212385	640	120	640	-0,0663386830915975	640	0
650	-0,07622996560080425	650	119,99784583172523	650	0,072226197233638073	650	120	650	-0,0663386830915975	650	0
660	-0,06074472593854989	660	120,00103483231605	660	-0,72143833663903345	660	120	660	-0,0663386830915975	660	0
670	-0,073818600212193386	670	119,99902661047192	670	-0,87162448863066277	670	120	670	-0,0663386830915975	670	0
680	-0,06291075830499944	680	119,99933477498259	680	-1,0118039825333551	680	120	680	-0,0663386830915975	680	0
690	-0,071702759916097744	690	120,00235058012166	690	0,12095487355507267	690	120	690	-0,0663386830915975	690	0
700	-0,066659089878709818	700	119,99991185933672	700	0,025698262987583764	700	120	700	-0,0663386830915975	700	0
710	-0,058452980944879482	710	120,00074218415655	710	-0,39050758928612961	710	120	710	-0,0663386830915975	710	0
720	-0,060444307253274529	720	120,0008316923619	720	-0,068917477157667273	720	120	720	-0,0663386830915975	720	0
730	-0,0629020547513304	730	120,00151667688562	730	-0,12744242389180729	730	120	730	-0,0663386830915975	730	0
740	-0,061253459932025876	740	120,00089746128954	740	0,74897579384311963	740	120	740	-0,0663386830915975	740	0
750	-0,068153599234837284	750	120,00004051354162	750	-0,27394216352613676	750	120	750	-0,0663386830915975	750	0
760	-0,058688381067354606	760	120,00128250941478	760	0,055342545180288832	760	120	760	-0,0663386830915975	760	0
770	-0,067984422268756159	770	119,99737019438933	770	-0,91964085223460412	770	120	770	-0,0663386830915975	770	0
780	-0,070311211570828883	780	119,99766288709569	780	-0,18189009023665903	780	120	780	-0,0663386830915975	780	0
790	-0,074993388576691411	790	119,99957974513104	790	-0,56571656788307312	790	120	790	-0,0663386830915975	790	0
800	-0,061390123802728055	800	120,00266507682366	800	0,99696820621743787	800	120	800	-0,0663386830915975	800	0
810	-0,060107496950320971	810	120,00034997480428	810	-0,70718995963128983	810	120	810	-0,0663386830915975	810	0
820	-0,072157362642159731	820	119,99830308792785	820	0,23010219906305357	820	120	820	-0,0663386830915975	820	0
830	-0,078539583497332047	830	119,99743046498418	830	-0,90327959065402275	830	120	830	-0,0663386830915975	830	0
840	-0,069888838152713614	840	119,99957291428183	840	-0,89444802189548744	840	120	840	-0,0663386830915975	840	0
850	-0,054406006160271657	850	120,00250396354387	850	0,55411956775628535	850	120	850	-0,0663386830915975	850	0
860	-0,064667658395059988	860	119,9988348565148	860	-0,81289532792272523	860	120	860	-0,0663386830915975	860	0
870	-0,084635037718282652	870	119,99971402394537	870	-0,8995080249840105	870	120	870	-0,0663386830915975	870	0
880	-0,062163327592879722	880	119,99914924067028	880	0,543570235665669	880	120	880	-0,0663386830915975	880	0
890	-0,059907986334682931	890	120,00053939727049	890	-0,55689382830338219	890	120	890	-0,0663386830915975	890	0
900	-0,071937305495734655	900	119,99775371895181	900	-1,0653668024877483	900	120	900	-0,0663386830915975	900	0
910	-0,062730427078527412	910	120,00156790258346	910	0,71857169265214138	910	120	910	-0,0663386830915975	910	0
920	-0,059771155506061491	920	120,00029545354346	920	0,54379906594992433	920	120	920	-0,0663386830915975	920	0
930	-0,0735045198404431	930	119,99915288391867	930	0,22468543002117683	930	120	930	-0,0663386830915975	930	0
940	-0,053820835936865014	940	120,00588922120787	940	0,67163202353354845	940	120	940	-0,0663386830915975	940	0
950	-0,056368186675984665	950	120,00137582175961	950	1,7747812335858484	950	120	950	-0,0663386830915975	950	0
960	-0,076131524981993909	960	119,99520679412234	960	-1,5014874766100537	960	120	960	-0,0663386830915975	960	0
970	-0,075495350320208945	970	119,99686639106618	970	-1,0388976362824136	970	120	970	-0,0663386830915975	970	0
980	-0,067948066181852035	980	119,99885486839315	980	-0,135304398482338	980	120	980	-0,0663386830915975	980	0
990	-0,062680384348511	990	120,00182366880979	990	0,18143526212263181	990	120	990	-0,0663386830915975	990	0
1000	-0,071012003822578537	1000	119,99963759271219	1000	-8,1183712674653963E-05	1000	120	1000	-0,0663386830915975	1000	0
1010	-0,078242677438928376	1010	119,99594699291754	1010	-1,0996480079116264	1010	120	1010	-0,0663386830915975	1010	0
1020	-0,0624764857643168	1020	120,00126489594015	1020	0,19786723008588905	1020	120	1020	-0,0663386830915975	1020	0
1030	-0,071689896270944048	1030	119,99699298158375	1030	-0,53930965107102835	1030	120	1030	-0,0663386830915975	1030	0
1040	-0,0668933327028176	1040	119,99945735597269	1040	-0,47328203177074468	1040	120	1040	-0,0663386830915975	1040	0
1050	-0,065171359351984773	1050	119,99917693418534	1050	0,53578358404192872	1050	120	1050	-0,0663386830915975	1050	0
1060	-0,062575123674936214	1060	120,00072611506907	1060	-0,39293692422670157	1060	120	1060	-0,0663386830915975	1060	0
1070	-0,058134943308848365	1070	120,00228736795245	1070	1,0799365418639457	1070	120	1070	-0,0663386830915975	1070	0
1080	-0,069584217905312232	1080	120,00054362550867	1080	0,43311462196935391	1080	120	1080	-0,0663386830915975	1080	0
1090	-0,082618472234615117	1090	119,99813020565988	1090	-1,3742538146782231	1090	120	1090	-0,0663386830915975	1090	0
1100	-0,062429600881216463	1100	120,00107244925894	1100	0,70051857479423563	1100	120	1100	-0,0663386830915975	1100	0
1110	-0,072712443342359392	1110	120,00011470644849	1110	0,11129625970354606	1110	120	1110	-0,0663386830915975	1110	0
1120	-0,062774662580416321	1120	120,00071102266996	1120	-0,043276532157554275	1120	120	1120	-0,0663386830915975	1120	0
1130	-0,068656200412162138	1130	119,99943117179201	1130	-0,26878126150283443	1130	120	1130	-0,0663386830915975	1130	0
1140	-0,064464175835888635	1140	120,00111879567402	1140	0,12871395407590514	1140	120	1140	-0,0663386830915975	1140	0
1150	-0,054787317782658239	1150	120,0010691543951	1150	0,19459606356792414	1150	120	1150	-0,0663386830915975	1150	0
1160	-0,077939206810868814	1160	119,99635651634061	1160	-0,45960277274995315	1160	120	1160	-0,0663386830915975	1160	0
1170	-0,060432385869386852	1170	120,00126891763991	1170	0,69200527000494927	1170	120	1170	-0,0663386830915975	1170	0
1180	-0,071216434183962243	1180	119,99874377868865	1180	-0,12367542587448749	1180	120	1180	-0,0663386830915975	1180	0
1190	-0,073373456026718964	1190	119,99778600738119	1190	-0,52705635219309643	1190	120	1190	-0,0663386830915975	1190	0
1200	-0,055169751168068763	1200	120,00110764398552	1200	1,0389829166895019	1200	120	1200	-0,0663386830915975	1200	0
1210	-0,054647513007308871	1210	120,00126586274237	1210	0,61208341708312575	1210	120	1210	-0,0663386830915975	1210	0
1220	-0,0641581782589415	1220	120,00039280775106	1220	-1,0280801931430219	1220	120	1220	-0,0663386830915975	1220	0
1230	-0,051093716887437808	1230	120,0044334319288	1230	0,73778518266395188	1230	120	1230	-0,0663386830915975	1230	0
1240	-0,076635484482210692	1240	119,99720427543269	1240	-0,45105015028092554	1240	120	1240	-0,0663386830915975	1240	0
1250	-0,067802466526220878	1250	119,99943262825012	1250	-0,84672360465404251	1250	120	1250	-0,0663386830915975	1250	0
1260	-0,068089614809132212	1260	119,99847064910834	1260	-0,43159443536825104	1260	120	1260	-0,0663386830915975	1260	0
1270	-0,071744733626331145	1270	119,99832291094842	1270	-0,648081698715917	1270	120	1270	-0,0663386830915975	1270	0
1280	-0,07289097696344353	1280	119,99846478219877	1280	-0,10293595659345345	1280	120	1280	-0,0663386830915975	1280	0
1290	-0,077474511209405073	1290	119,9966429692568	1290	-1,0004554519382114	1290	120	1290	-0,0663386830915975	1290	0
1300	-0,065267989795833148	1300	120,00017713106887	1300	0,24610996297326782	1300	120	1300	-0,0663386830915975	1300	0
1310	-0,06094632937157022	1310	119,99951133102191	1310	-0,545226746794537	1310	120	1310	-0,0663386830915975	1310	0
1320	-0,059724244666484794	1320	120,00355068902228	1320	0,7303058814688248	1320	120	1320	-0,0663386830915975	1320	0
1330	-0,071756215617604924	1330	120,00019980172161	1330	0,054012448682785069	1330	120	1330	-0,0663386830915975	1330	0
1340	-0,071969086599551216	1340	119,99810069867988	1340	-0,51081989141286444	1340	120	1340	-0,0663386830915975	1340	0
1350	-0,058865943743307884	1350	120,00351309279284	1350	0,73123047112367368	1350	120	1350	-0,0663386830915975	1350	0
1360	-0,064880243553516181	1360	120,00118337097406	1360	0,065796415938608688	1360	120	1360	-0,0663386830915975	1360	0
1370	-0,0661480019217541	1370	119,99865473502744	1370	0,39538662095963473	1370	120	1370	-0,0663386830915975	1370	0
1380	-0,073190793789049233	1380	119,99805998226759	1380	-0,20097572625614657	1380	120	1380	-0,0663386830915975	1380	0
1390	-0,066011320348111829	1390	120,0000239623058	1390	-1,8664542187621072	1390	120	1390	-0,0663386830915975	1390	0
1400	-0,067778178966480723	1400	120,00239813371444	1400	1,0327905620974764	1400	120	1400	-0,0663386830915975	1400	0
1410	-0,056864754285989215	1410	120,00120870153414	1410	0,92985788814962833	1410	120	1410	-0,0663386830915975	1410	0
1420	-0,068967374069748788	1420	119,99906123327575	1420	0,28223562136624358	1420	120	1420	-0,0663386830915975	1420	0
1430	-0,073657527961063	1430	119,99736068982544	1430	-0,047280133012061132	1430	120	1430	-0,0663386830915975	1430	0
1440	-0,059259722699291272	1440	120,00096042342968	1440	-0,041898990737476494	1440	120	1440	-0,0663386830915975	1440	0
1450	-0,059400564662887324	1450	120,00205929172856	1450	0,61189965370056876	1450	120	1450	-0,0663386830915975	1450	0
1460	-0,064202158054443861	1460	120,00105649157793	1460	-0,730471729673978	1460	120	1460	-0,0663386830915975	1460	0
1470	-0,064526292571495864	1470	120,00217613668522	1470	0,053194447314478616	1470	120	1470	-0,0663386830915975	1470	0
1480	-0,07244860802097243	1480	120,00037282939287	1480	-0,080314953792682664	1480	120	1480	-0,0663386830915975	1480	0
1490	-0,058121770185704857	1490	120,00062443338707	1490	-0,7575660295225759	1490	120	1490	-0,0663386830915975	1490	0
1500	-0,076182803444829084	1500	119,99772010089137	1500	-0,44111124841118438	1500	120	1500	-0,0663386830915975	1500	0
1510	-0,076475039829890859	1510	119,99646030712586	1510	-0,76118625653807337	1510	120	1510	-0,0663386830915975	1510	0
1520	-0,082771533620590129	1520	119,99598481565847	1520	-0,14781135418392327	1520	120	1520	-0,0663386830915975	1520	0
1530	-0,05137318013166358	1530	120,0020734026248	1530	1,222310717401629	1530	120	1530	-0,0663386830915975	1530	0
1540	-0,066983335593244625	1540	119,99839183234325	1540	-0,72325145337439112	1540	120	1540	-0,0663386830915975	1540	0
1550	-0,060655357236334369	1550	120,00233986059884	1550	-0,12854095414646227	1550	120	1550	-0,0663386830915975	1550	0
1560	-0,064805520675709438	1560	120,00084656481282	1560	-0,1676091276673119	1560	120	1560	-0,0663386830915975	1560	0
1570	-0,053784299835349075	1570	120,00315666462873	1570	1,7542211525239388	1570	120	1570	-0,0663386830915975	1570	0
1580	-0,057705833319065272	1580	120,00089568140996	1580	-0,16945872993591526	1580	120	1580	-0,0663386830915975	1580	0
1590	-0,0813642301722007	1590	119,99607291425747	1590	-0,95984392151215814	1590	120	1590	-0,0663386830915975	1590	0
1600	-0,067096269674816286	1600	119,99911612128756	1600	-0,39173576443168256	1600	120	1600	-0,0663386830915975	1600	0
1610	-0,052819973041106597	1610	120,00355879814075	1610	0,80139632614807288	1610	120	1610	-0,0663386830915975	1610	0
1620	-0,061736398413985212	1620	120,00198224031625	1620	1,1308211651562563	1620	120	1620	-0,0663386830915975	1620	0
1630	-0,063343284819656787	1630	119,99993324117799	1630	-0,48389625607750358	1630	120	1630	-0,0663386830915975	1630	0
1640	-0,074416455829965436	1640	119,99991558760362	1640	-0,061835899350210971	1640	120	1640	-0,0663386830915975	1640	0
1650	-0,078090635883984266	1650	119,99662062677295	1650	-1,1339791359451699	1650	120	1650	-0,0663386830915975	1650	0
1660	-0,072350456735288088	1660	119,99967941972852	1660	-0,75012637963223228	1660	120	1660	-0,0663386830915975	1660	0
1670	-0,070498472861421538	1670	119,99901664144616	1670	-0,35626100695306107	1670	120	1670	-0,0663386830915975	1670	0
1680	-0,063790922587624241	1680	119,99797417827823	1680	-0,13321214417542326	1680	120	1680	-0,0663386830915975	1680	0
1690	-0,056600085820161669	1690	120,00409115295396	1690	0,40598862957032522	1690	120	1690	-0,0663386830915975	1690	0
1700	-0,074750118173968261	1700	120,00037105672919	1700	0,53972454884690957	1700	120	1700	-0,0663386830915975	1700	0
1710	-0,0580794471785635	1710	120,00054132031592	1710	0,032337130544042345	1710	120	1710	-0,0663386830915975	1710	0
1720	-0,077506546008815264	1720	119,99873049494589	1720	-1,0127565021179792	1720	120	1720	-0,0663386830915975	1720	0
1730	-0,0702585281510806	1730	119,99795545465615	1730	-0,71655447792120408	1730	120	1730	-0,0663386830915975	1730	0
1740	-0,063676721834335689	1740	120,00067129433923	1740	-1,0177485785505622	1740	120	1740	-0,0663386830915975	1740	0
1750	-0,060930525814422869	1750	120,00177021533872	1750	0,437533280420539	1750	120	1750	-0,0663386830915975	1750	0
1760	-0,07400127300881594	1760	119,99917864711081	1760	-0,56167791571938785	1760	120	1760	-0,0663386830915975	1760	0
1770	-0,052250280779479796	1770	120,00141342438023	1770	0,67430637779317393	1770	120	1770	-0,0663386830915975	1770	0
1780	-0,0728897821437824	1780	119,99752676435976	1780	-0,49143421153118416	1780	120	1780	-0,0663386830915975	1780	0
1790	-0,071240554234430112	1790	119,99804174267793	1790	-0,019611343193684461	1790	120	1790	-0,0663386830915975	1790	0
1800	-0,073607553616394761	1800	120,00059719431117	1800	0,20626994657349268	1800	120	1800	-0,0663386830915975	1800	0
1810	-0,06771636578751547	1810	120,00007204034225	1810	-0,56494670240808986	1810	120	1810	-0,0663386830915975	1810	0
