Name	actposB	Name	actposX	Name	actveloX	Name	setposX	Name	setposB	Name	setveloX
SymbolComment	B coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	X coordinate.	SymbolComment	B coordinate.	SymbolComment	X coordinate.
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462	IndexGroup	61462
IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0	IndexOffset	0
SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.ACT.ActVelo.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.x	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetPos.b	SymbolName	MAIN.Xpmover[0].MCTOPLC.SET.SetVelo.x
NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1	NetID	169.254.116.218.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

1240	-0,058953526051499047	1240	119,70003147453134	1240	-0,17627779050475206	1240	120	1240	0	1240	0
1250	-0,054540116447670081	1250	119,69826976051525	1250	-0,35547501574207052	1250	120	1250	0	1250	0
1260	-0,052380472903638287	1260	119,69768557130821	1260	0,8328695825744874	1260	120	1260	0	1260	0
1270	-0,058761375002189316	1270	119,7000624181388	1270	0,42197698738710582	1270	120	1270	0	1270	0
1280	-0,052687962915775183	1280	119,69901139130108	1280	0,33912975263919559	1280	120	1280	0	1280	0
1290	-0,063324499475079	1290	119,69896412597812	1290	0,26936860418025688	1290	120	1290	0	1290	0
1300	-0,059324086000793919	1300	119,69915154985733	1300	-0,3214332237311327	1300	120	1300	0	1300	0
1310	-0,060825521356909468	1310	119,69660990149838	1310	-0,35561730550830684	1310	120	1310	0	1310	0
1320	-0,067130929295596956	1320	119,69482226221456	1320	-0,040802424938557666	1320	120	1320	0	1320	0
1330	-0,059039184180885509	1330	119,69944977758799	1330	0,25702250377547564	1330	120	1330	0	1330	0
1340	-0,059859127070297981	1340	119,69987872482315	1340	-0,47574140237944623	1340	120	1340	0	1340	0
1350	-0,064638940405296608	1350	119,69960143678014	1350	-0,34178648177813664	1350	120	1350	0	1350	0
1360	-0,059551947510222268	1360	119,69742822806916	1360	-0,10016910566138615	1360	120	1360	0	1360	0
1370	-0,067088545418956258	1370	119,69878119110653	1370	-0,252485756552412	1370	120	1370	0	1370	0
1380	-0,050365940007976985	1380	119,69801436602916	1380	0,12273708920831433	1380	120	1380	0	1380	0
1390	-0,052208988138011093	1390	119,70078603586427	1390	0,56728146345852515	1390	120	1390	0	1390	0
1400	-0,051685377592213651	1400	119,69952277428656	1400	0,34646702987577727	1400	120	1400	0	1400	0
1410	-0,0657043506824401	1410	119,69525873638503	1410	-1,16616169142553	1410	120	1410	0	1410	0
1420	-0,053360582047051221	1420	119,69842675942499	1420	0,46140906635650758	1420	120	1420	0	1420	0
1430	-0,061704388123400192	1430	119,69620794313045	1430	-0,20957795809931698	1430	120	1430	0	1430	0
1440	-0,062682499988095622	1440	119,6968287005157	1440	-0,43891456331442691	1440	120	1440	0	1440	0
1450	-0,056165651026489169	1450	119,69551907061783	1450	-0,033771151798040133	1450	120	1450	0	1450	0
1460	-0,048536239116229771	1460	119,7008368537968	1460	0,48283680085472014	1460	120	1460	0	1460	0
1470	-0,05732050950682669	1470	119,70090304737416	1470	0,55990994737916466	1470	120	1470	0	1470	0
1480	-0,059296832804743918	1480	119,700533916824	1480	-0,11797663084082107	1480	120	1480	0	1480	0
1490	-0,0656913508604039	1490	119,69770250755482	1490	-0,514078576993545	1490	120	1490	0	1490	0
1500	-0,054772584445233273	1500	119,69725374511953	1500	-0,80181301853988074	1500	120	1500	0	1500	0
1510	-0,054579062834424576	1510	119,69464528236281	1510	0,031802705652532834	1510	120	1510	0	1510	0
1520	-0,054392515323159779	1520	119,69946829428295	1520	0,68924252037860456	1520	120	1520	0	1520	0
1530	-0,053480726861358581	1530	119,69558765118521	1530	-0,147656099026576	1530	120	1530	0	1530	0
1540	-0,057828418743185318	1540	119,69713728168976	1540	0,037773785022810695	1540	120	1540	0	1540	0
1550	-0,054575579962760079	1550	119,70004921629489	1550	0,09432567375177503	1550	120	1550	0	1550	0
1560	-0,06324822919028901	1560	119,69628854653368	1560	-0,48538675645530871	1560	120	1560	0	1560	0
1570	-0,059445329719775661	1570	119,69848614064885	1570	-0,16186500653858854	1570	120	1570	0	1570	0
1580	-0,061472399392853067	1580	119,7003162529807	1580	0,074904369216067884	1580	120	1580	0	1580	0
1590	-0,060258322807009025	1590	119,69831521916829	1590	-0,25117148478164092	1590	120	1590	0	1590	0
1600	-0,05503364433309358	1600	119,69726525763815	1600	-0,35935947115049921	1600	120	1600	0	1600	0
1610	-0,054231206055671506	1610	119,69708702379003	1610	0,39900830521422614	1610	120	1610	0	1610	0
1620	-0,051636551010434184	1620	119,69946195208424	1620	0,32560028698619986	1620	120	1620	0	1620	0
1630	-0,065021848904651625	1630	119,69801022412536	1630	-0,30292674353468396	1630	120	1630	0	1630	0
1640	-0,063439055129514893	1640	119,69709485734418	1640	-0,869701810939482	1640	120	1640	0	1640	0
1650	-0,045061463782592487	1650	119,69904072100592	1650	0,37475882716272629	1650	120	1650	0	1650	0
1660	-0,052486171483906892	1660	119,70123153528266	1660	0,44657082388927694	1660	120	1660	0	1660	0
1670	-0,053528335155666865	1670	119,70137162077722	1670	0,27339980961526356	1670	120	1670	0	1670	0
1680	-0,058030760077956794	1680	119,6996467600883	1680	-0,14449518956922175	1680	120	1680	0	1680	0
1690	-0,0698209667657823	1690	119,69493072860334	1690	-0,7340715463093449	1690	120	1690	0	1690	0
1700	-0,056497865886443156	1700	119,69628098655073	1700	-0,099496183836694618	1700	120	1700	0	1700	0
1710	-0,055022696045888844	1710	119,69872529168117	1710	0,39112937468404385	1710	120	1710	0	1710	0
